date,value,campus
2025-03-10,91.09,sippel
2025-03-10,91.89,watts
2025-03-10,91.7,wiederstein
2025-03-10,92.59,jordan
2025-03-10,93.56,schlather
2025-03-10,92.29,wilder
2025-03-10,93.1,dobie
2025-03-10,92.24,corbett
2025-03-10,90.97,clemens
2025-03-10,91.23,b_steele
2025-03-10,66.07,als_elc
2025-03-10,90.63,district_avg
2025-03-24,95.04,cibolo_valley
2025-03-24,95.87,green_valley
2025-03-24,96.42,paschal
2025-03-24,93.51,rose_garden
2025-03-24,95.78,schertz
2025-03-24,95.22,sippel
2025-03-24,93.91,watts
2025-03-24,95.13,wiederstein
2025-03-24,94.75,jordan
2025-03-24,94.86,schlather
2025-03-24,94.96,wilder
2025-03-24,94.36,dobie
2025-03-24,94,corbett
2025-03-24,92.83,clemens
2025-03-24,93.5,b_steele
2025-03-24,70.11,als_elc
2025-03-24,93.14,district_avg
2025-03-31,94.29,cibolo_valley
2025-03-31,95.16,green_valley
2025-03-31,95.96,paschal
2025-03-31,94.37,rose_garden
2025-03-31,94.92,schertz
2025-03-31,94.64,sippel
2025-03-31,95.05,watts
2025-03-31,94.63,wiederstein
2025-03-31,94.65,jordan
2025-03-31,95.98,schlather
2025-03-31,95.31,wilder
2025-03-31,95.05,dobie
2025-03-31,94.45,corbett
2025-03-31,93.11,clemens
2025-03-31,93.67,b_steele
2025-03-31,71.83,als_elc
2025-03-31,93.32,district_avg
2025-04-07,95.36,cibolo_valley
2025-04-07,95.53,green_valley
2025-04-07,95.59,paschal
2025-04-07,94.86,rose_garden
2025-04-07,92.39,schertz
2025-04-07,94.66,sippel
2025-04-07,94.5,watts
2025-04-07,94.61,wiederstein
2025-04-07,95.04,jordan
2025-04-07,95.38,schlather
2025-04-07,94.69,wilder
2025-04-07,95.38,dobie
2025-04-07,94.99,corbett
2025-04-07,92.02,clemens
2025-04-07,93.05,b_steele
2025-04-07,67.98,als_elc
2025-04-07,92.88,district_avg
2025-04-14,94.13,cibolo_valley
2025-04-14,96.78,green_valley
2025-04-14,95.74,paschal
2025-04-14,94.71,rose_garden
2025-04-14,93.67,schertz
2025-04-14,94.26,sippel
2025-04-14,95.66,watts
2025-04-14,94.87,wiederstein
2025-04-14,95.1,jordan
2025-04-14,95.7,schlather
2025-04-14,93.55,wilder
2025-04-14,94.73,dobie
2025-04-14,93.76,corbett
2025-04-14,93.38,clemens
2025-04-14,93.43,b_steele
2025-04-14,68.24,als_elc
2025-04-14,92.98,district_avg
2025-04-22,96.13,cibolo_valley
2025-04-22,95.6,green_valley
2025-04-22,95.94,paschal
2025-04-22,94.59,rose_garden
2025-04-22,95.02,schertz
2025-04-22,93.59,sippel
2025-04-22,94.65,watts
2025-04-22,93.34,wiederstein
2025-04-22,94.37,jordan
2025-04-22,95.45,schlather
2025-04-22,94.26,wilder
2025-04-22,94.32,dobie
2025-04-22,92.8,corbett
2025-04-22,88.87,clemens
2025-04-22,87.55,b_steele
2025-04-22,59.93,als_elc
2025-04-22,91.65,district_avg
2025-04-28,94.34,cibolo_valley
2025-04-28,95.24,green_valley
2025-04-28,95.33,paschal
2025-04-28,92.55,rose_garden
2025-04-28,94.48,schertz
2025-04-28,94.47,sippel
2025-04-28,94.86,watts
2025-04-28,94.01,wiederstein
2025-04-28,94.39,jordan
2025-04-28,95.47,schlather
2025-04-28,92.48,wilder
2025-04-28,94.29,dobie
2025-04-28,92.88,corbett
2025-04-28,92.46,clemens
2025-04-28,92.69,b_steele
2025-04-28,75.64,als_elc
2025-04-28,92.85,district_avg
2025-05-05,94.62,cibolo_valley
2025-05-05,95.68,green_valley
2025-05-05,95,paschal
2025-05-05,93.7,rose_garden
2025-05-05,94.09,schertz
2025-05-05,95.75,sippel
2025-05-05,94.67,watts
2025-05-05,93.77,wiederstein
2025-05-05,94.15,jordan
2025-05-05,96.52,schlather
2025-05-05,92.45,wilder
2025-05-05,95.21,dobie
2025-05-05,93.54,corbett
2025-05-05,91.79,clemens
2025-05-05,92.7,b_steele
2025-05-05,77.74,als_elc
2025-05-05,93.21,district_avg
2025-05-12,93.82,cibolo_valley
2025-05-12,95.36,green_valley
2025-05-12,95.81,paschal
